id,name,css
"attractivehairline","Attractive Hair Line","Attractive Hair Line, system-ui, -apple-system, sans-serif"
"attractivesemicond","Attractive Semi Cond","Attractive Semi Cond, system-ui, -apple-system, sans-serif"
"attractivesemicondhairline","Attractive Semi Cond Hair Line","Attractive Semi Cond Hair Line, system-ui, -apple-system, sans-serif"
"aurora","Aurora","Aurora, system-ui, -apple-system, sans-serif"
"austincyr","Austin Cyr","Austin Cyr, system-ui, -apple-system, sans-serif"
"austincyrfat","Austin Cyr Fat","Austin Cyr Fat, system-ui, -apple-system, sans-serif"
"austincyrroman","Austin Cyr Roman","Austin Cyr Roman, system-ui, -apple-system, sans-serif"
"avenir","Avenir","Avenir, system-ui, -apple-system, sans-serif"
"avenirblackoblique","Avenir Black Oblique","Avenir Black Oblique, system-ui, -apple-system, sans-serif"
"avenirbook","Avenir Book","Avenir Book, system-ui, -apple-system, sans-serif"
"avenirbookoblique","Avenir Book Oblique","Avenir Book Oblique, system-ui, -apple-system, sans-serif"
"avenirheavyoblique","Avenir Heavy Oblique","Avenir Heavy Oblique, system-ui, -apple-system, sans-serif"
"avenirmediumoblique","Avenir Medium Oblique","Avenir Medium Oblique, system-ui, -apple-system, sans-serif"
"avenirnextcyr","Avenir Next Cyr","Avenir Next Cyr, system-ui, -apple-system, sans-serif"
"avenirnextcyrdemi","Avenir Next Cyr Demi","Avenir Next Cyr Demi, system-ui, -apple-system, sans-serif"
"aveniroblique","Avenir Oblique","Avenir Oblique, system-ui, -apple-system, sans-serif"
"avenirroman","Avenir Roman","Avenir Roman, system-ui, -apple-system, sans-serif"
"avertacyrillic","Averta Cyrillic","Averta Cyrillic, system-ui, -apple-system, sans-serif"
"azoftsans","azoft sans","azoft sans, system-ui, -apple-system, sans-serif"
"bajka","Bajka","Bajka, system-ui, -apple-system, sans-serif"
"basisgrotesquepro","Basis Grotesque Pro","Basis Grotesque Pro, system-ui, -apple-system, sans-serif"
"baufra","Baufra","Baufra, system-ui, -apple-system, sans-serif"
"baufranews","Baufra News","Baufra News, system-ui, -apple-system, sans-serif"
"beatrixantiqua","Beatrix Antiqua","Beatrix Antiqua, system-ui, -apple-system, sans-serif"
"beatrixantiquaextra","Beatrix Antiqua Extra","Beatrix Antiqua Extra, system-ui, -apple-system, sans-serif"
"beatrixantiquaextrablackita","Beatrix Antiqua Extra Black Ita","Beatrix Antiqua Extra Black Ita, system-ui, -apple-system, sans-serif"
"beatrixantiquaextraboldita","Beatrix Antiqua Extra Bold Ita","Beatrix Antiqua Extra Bold Ita, system-ui, -apple-system, sans-serif"
"bebasneuebook","Bebas Neue Book","Bebas Neue Book, system-ui, -apple-system, sans-serif"
"bebasneuepro","Bebas Neue Pro","Bebas Neue Pro, system-ui, -apple-system, sans-serif"
"bebasneueprobook","Bebas Neue Pro Book","Bebas Neue Pro Book, system-ui, -apple-system, sans-serif"
"bebasneueproexpanded","Bebas Neue Pro Expanded","Bebas Neue Pro Expanded, system-ui, -apple-system, sans-serif"
"bebasneueproexpandedbook","Bebas Neue Pro Expanded Book","Bebas Neue Pro Expanded Book, system-ui, -apple-system, sans-serif"
"bebasneueproexpandedmiddle","Bebas Neue Pro Expanded Middle","Bebas Neue Pro Expanded Middle, system-ui, -apple-system, sans-serif"
"bebasneuepromiddle","Bebas Neue Pro Middle","Bebas Neue Pro Middle, system-ui, -apple-system, sans-serif"
"bebasneueprosemiexp","Bebas Neue Pro Semi Exp","Bebas Neue Pro Semi Exp, system-ui, -apple-system, sans-serif"
"bebasneueprosemiexpanded","Bebas Neue Pro Semi Expanded","Bebas Neue Pro Semi Expanded, system-ui, -apple-system, sans-serif"
"bebasneueprosemiexpandedbook","Bebas Neue Pro Semi Expanded Book","Bebas Neue Pro Semi Expanded Book, system-ui, -apple-system, sans-serif"
"bebasneueprosemiexpandedmiddle","Bebas Neue Pro Semi Expanded Middle","Bebas Neue Pro Semi Expanded Middle, system-ui, -apple-system, sans-serif"
"bergensans","Bergen Sans","Bergen Sans, system-ui, -apple-system, sans-serif"
"bergensanssemi","Bergen Sans Semi","Bergen Sans Semi, system-ui, -apple-system, sans-serif"
"berlingskeserif","Berlingske Serif","Berlingske Serif, system-ui, -apple-system, sans-serif"
"berlingskeserifblk","Berlingske Serif Blk","Berlingske Serif Blk, system-ui, -apple-system, sans-serif"
"berlingskeserifdbd","Berlingske Serif DBd","Berlingske Serif DBd, system-ui, -apple-system, sans-serif"
"berlingskeseriflt","Berlingske Serif Lt","Berlingske Serif Lt, system-ui, -apple-system, sans-serif"
"berlingskeserifmd","Berlingske Serif Md","Berlingske Serif Md, system-ui, -apple-system, sans-serif"
"berlingskeserifxbd","Berlingske Serif XBd","Berlingske Serif XBd, system-ui, -apple-system, sans-serif"
"bigcitygrotesquepro","Big City Grotesque Pro","Big City Grotesque Pro, system-ui, -apple-system, sans-serif"
"bigcitygrotesqueproblackita","Big City Grotesque Pro Black Ita","Big City Grotesque Pro Black Ita, system-ui, -apple-system, sans-serif"
"bigcitygrotesqueproboldita","Big City Grotesque Pro Bold Ita","Big City Grotesque Pro Bold Ita, system-ui, -apple-system, sans-serif"
"bigcitygrotesqueproextbdita","Big City Grotesque Pro Ext Bd Ita","Big City Grotesque Pro Ext Bd Ita, system-ui, -apple-system, sans-serif"
"bigcitygrotesqueproextlt","Big City Grotesque Pro Ext Lt","Big City Grotesque Pro Ext Lt, system-ui, -apple-system, sans-serif"
"bigcitygrotesqueproextltita","Big City Grotesque Pro Ext Lt Ita","Big City Grotesque Pro Ext Lt Ita, system-ui, -apple-system, sans-serif"
"bigcitygrotesquepromedita","Big City Grotesque Pro Med Ita","Big City Grotesque Pro Med Ita, system-ui, -apple-system, sans-serif"
"bigcitygrotesquepronews","Big City Grotesque Pro News","Big City Grotesque Pro News, system-ui, -apple-system, sans-serif"
"bigcitygrotesquepronewsita","Big City Grotesque Pro News Ita","Big City Grotesque Pro News Ita, system-ui, -apple-system, sans-serif"
"bitter","Bitter","Bitter, system-ui, -apple-system, sans-serif"
"blackerdisplay","Blacker Display","Blacker Display, system-ui, -apple-system, sans-serif"
"blackersans","Blacker Sans","Blacker Sans, system-ui, -apple-system, sans-serif"
"blackersansbook","Blacker Sans Book","Blacker Sans Book, system-ui, -apple-system, sans-serif"
"blackertext","Blacker Text","Blacker Text, system-ui, -apple-system, sans-serif"
"blackertextbook","Blacker Text Book","Blacker Text Book, system-ui, -apple-system, sans-serif"
"blackye","Blackye","Blackye, system-ui, -apple-system, sans-serif"
"blisspro","Bliss Pro","Bliss Pro, system-ui, -apple-system, sans-serif"
"bloggersans","Blogger Sans","Blogger Sans, system-ui, -apple-system, sans-serif"
